yearc,sum_total,sum_first_girl
1956,23,12
1957,60,22
1958,98,44
1959,175,85
1960,369,174
1961,425,180
1962,988,455
1963,762,342
1964,1114,524
1965,1171,560
1966,1612,712
1967,2174,996
1968,2641,1220
1969,2182,1017
1970,3025,1396
1971,2759,1222
1972,3795,1840
1973,4054,1870
1974,3995,1890
1975,4397,2134
1976,5160,2400
1977,5150,2457
1978,6184,3081
1979,5823,2715
1980,8306,3916
1981,6755,3156
1982,7555,3596
1983,7836,3711
1984,7951,3867
1985,8432,4093
1986,8707,4217
1987,8840,4209
1988,8743,4292
1989,8187,3950
1990,8672,4186
1991,8960,4302
1992,8691,4233
1993,6894,3322
1994,5871,2800
1995,5918,2880
1996,5667,2767
1997,5824,2857
1998,5929,2848
1999,3661,1830
2000,3185,1538
2001,3077,1512
2002,2913,1448
2003,2921,1406
2004,2839,1372
2005,2759,1344
